법정동코드,시도명,시군구명,지역명
4373000000,충청북도,옥천군,충청북도_옥천군
4374000000,충청북도,영동군,충청북도_영동군
4374500000,충청북도,증평군,충청북도_증평군
4375000000,충청북도,진천군,충청북도_진천군
4376000000,충청북도,괴산군,충청북도_괴산군
4377000000,충청북도,음성군,충청북도_음성군
4380000000,충청북도,단양군,충청북도_단양군
4413000000,충청남도,천안시,충청남도_천안시
4415000000,충청남도,공주시,충청남도_공주시
4418000000,충청남도,보령시,충청남도_보령시
4420000000,충청남도,아산시,충청남도_아산시
4421000000,충청남도,서산시,충청남도_서산시
4423000000,충청남도,논산시,충청남도_논산시
4425000000,충청남도,계룡시,충청남도_계룡시
4427000000,충청남도,당진시,충청남도_당진시
4471000000,충청남도,금산군,충청남도_금산군
4476000000,충청남도,부여군,충청남도_부여군
4477000000,충청남도,서천군,충청남도_서천군
4479000000,충청남도,청양군,충청남도_청양군
4480000000,충청남도,홍성군,충청남도_홍성군
4481000000,충청남도,예산군,충청남도_예산군
4482500000,충청남도,태안군,충청남도_태안군
4511000000,전라북도,전주시,전라북도_전주시
4513000000,전라북도,군산시,전라북도_군산시
4514000000,전라북도,익산시,전라북도_익산시
4518000000,전라북도,정읍시,전라북도_정읍시
4519000000,전라북도,남원시,전라북도_남원시
4521000000,전라북도,김제시,전라북도_김제시
4571000000,전라북도,완주군,전라북도_완주군
4572000000,전라북도,진안군,전라북도_진안군
4573000000,전라북도,무주군,전라북도_무주군
4574000000,전라북도,장수군,전라북도_장수군
4575000000,전라북도,임실군,전라북도_임실군
4577000000,전라북도,순창군,전라북도_순창군
4579000000,전라북도,고창군,전라북도_고창군
4580000000,전라북도,부안군,전라북도_부안군
4611000000,전라남도,목포시,전라남도_목포시
4613000000,전라남도,여수시,전라남도_여수시
4615000000,전라남도,순천시,전라남도_순천시
4617000000,전라남도,나주시,전라남도_나주시
4623000000,전라남도,광양시,전라남도_광양시
4671000000,전라남도,담양군,전라남도_담양군
4672000000,전라남도,곡성군,전라남도_곡성군
4673000000,전라남도,구례군,전라남도_구례군
4677000000,전라남도,고흥군,전라남도_고흥군
4678000000,전라남도,보성군,전라남도_보성군
4679000000,전라남도,화순군,전라남도_화순군
4680000000,전라남도,장흥군,전라남도_장흥군
4681000000,전라남도,강진군,전라남도_강진군
4682000000,전라남도,해남군,전라남도_해남군
