법정동코드,시도명,시군구명,지역명,상급종합병원_수,종합병원_수
4273000000,강원도,횡성군,강원도_횡성군,0,0
4275000000,강원도,영월군,강원도_영월군,0,1
4276000000,강원도,평창군,강원도_평창군,0,0
4277000000,강원도,정선군,강원도_정선군,0,0
4278000000,강원도,철원군,강원도_철원군,0,0
4279000000,강원도,화천군,강원도_화천군,0,0
4280000000,강원도,양구군,강원도_양구군,0,0
4281000000,강원도,인제군,강원도_인제군,0,0
4282000000,강원도,고성군,강원도_고성군,0,0
4283000000,강원도,양양군,강원도_양양군,0,0
4311000000,충청북도,청주시,충청북도_청주시,1,6
4313000000,충청북도,충주시,충청북도_충주시,0,2
4315000000,충청북도,제천시,충청북도_제천시,0,2
4372000000,충청북도,보은군,충청북도_보은군,0,0
4373000000,충청북도,옥천군,충청북도_옥천군,0,1
4374000000,충청북도,영동군,충청북도_영동군,0,0
4374500000,충청북도,증평군,충청북도_증평군,0,0
4375000000,충청북도,진천군,충청북도_진천군,0,1
4376000000,충청북도,괴산군,충청북도_괴산군,0,0
4377000000,충청북도,음성군,충청북도_음성군,0,0
4380000000,충청북도,단양군,충청북도_단양군,0,0
4413000000,충청남도,천안시,충청남도_천안시,2,2
4415000000,충청남도,공주시,충청남도_공주시,0,1
4418000000,충청남도,보령시,충청남도_보령시,0,1
4420000000,충청남도,아산시,충청남도_아산시,0,1
4421000000,충청남도,서산시,충청남도_서산시,0,2
4423000000,충청남도,논산시,충청남도_논산시,0,1
4425000000,충청남도,계룡시,충청남도_계룡시,0,0
4427000000,충청남도,당진시,충청남도_당진시,0,1
4471000000,충청남도,금산군,충청남도_금산군,0,0
4476000000,충청남도,부여군,충청남도_부여군,0,0
4477000000,충청남도,서천군,충청남도_서천군,0,0
4479000000,충청남도,청양군,충청남도_청양군,0,0
4480000000,충청남도,홍성군,충청남도_홍성군,0,1
4481000000,충청남도,예산군,충청남도_예산군,0,1
4482500000,충청남도,태안군,충청남도_태안군,0,0
4511000000,전라북도,전주시,전라북도_전주시,1,5
4513000000,전라북도,군산시,전라북도_군산시,0,2
4514000000,전라북도,익산시,전라북도_익산시,1,1
4518000000,전라북도,정읍시,전라북도_정읍시,0,1
4519000000,전라북도,남원시,전라북도_남원시,0,1
4521000000,전라북도,김제시,전라북도_김제시,0,0
