법정동코드,시도명,시군구명,지역명,초중고_수,대학교_수
1111000000,서울특별시,종로구,서울특별시_종로구,72,7
1114000000,서울특별시,중구,서울특별시_중구,60,2
1117000000,서울특별시,용산구,서울특별시_용산구,68,2
1120000000,서울특별시,성동구,서울특별시_성동구,82,3
1121500000,서울특별시,광진구,서울특별시_광진구,86,4
1123000000,서울특별시,동대문구,서울특별시_동대문구,94,6
1126000000,서울특별시,중랑구,서울특별시_중랑구,95,2
1129000000,서울특별시,성북구,서울특별시_성북구,120,7
1130500000,서울특별시,강북구,서울특별시_강북구,68,1
1132000000,서울특별시,도봉구,서울특별시_도봉구,92,1
1135000000,서울특별시,노원구,서울특별시_노원구,186,6
1138000000,서울특별시,은평구,서울특별시_은평구,133,1
1141000000,서울특별시,서대문구,서울특별시_서대문구,80,9
1144000000,서울특별시,마포구,서울특별시_마포구,92,2
1147000000,서울특별시,양천구,서울특별시_양천구,128,0
1150000000,서울특별시,강서구,서울특별시_강서구,160,4
1153000000,서울특별시,구로구,서울특별시_구로구,108,3
1154500000,서울특별시,금천구,서울특별시_금천구,66,0
1156000000,서울특별시,영등포구,서울특별시_영등포구,88,0
1159000000,서울특별시,동작구,서울특별시_동작구,88,3
1162000000,서울특별시,관악구,서울특별시_관악구,110,1
1165000000,서울특별시,서초구,서울특별시_서초구,102,2
1168000000,서울특별시,강남구,서울특별시_강남구,152,0
1171000000,서울특별시,송파구,서울특별시_송파구,176,1
1174000000,서울특별시,강동구,서울특별시_강동구,120,0
2611000000,부산광역시,중구,부산광역시_중구,18,0
2614000000,부산광역시,서구,부산광역시_서구,46,0
2617000000,부산광역시,동구,부산광역시_동구,32,0
2620000000,부산광역시,영도구,부산광역시_영도구,58,2
2623000000,부산광역시,부산진구,부산광역시_부산진구,138,4
2626000000,부산광역시,동래구,부산광역시_동래구,101,0
2629000000,부산광역시,남구,부산광역시_남구,98,4
2632000000,부산광역시,북구,부산광역시_북구,103,2
2635000000,부산광역시,해운대구,부산광역시_해운대구,128,1
2638000000,부산광역시,사하구,부산광역시_사하구,112,2
2641000000,부산광역시,금정구,부산광역시_금정구,93,4
2644000000,부산광역시,강서구,부산광역시_강서구,68,0
2647000000,부산광역시,연제구,부산광역시_연제구,56,3
2650000000,부산광역시,수영구,부산광역시_수영구,40,0
2653000000,부산광역시,사상구,부산광역시_사상구,72,4
2671000000,부산광역시,기장군,부산광역시_기장군,70,1
2711000000,대구광역시,중구,대구광역시_중구,38,0
2714000000,대구광역시,동구,대구광역시_동구,114,1
2717000000,대구광역시,서구,대구광역시_서구,62,1
2720000000,대구광역시,남구,대구광역시_남구,48,2
2723000000,대구광역시,북구,대구광역시_북구,159,5
2726000000,대구광역시,수성구,대구광역시_수성구,148,1
2729000000,대구광역시,달서구,대구광역시_달서구,216,3
2771000000,대구광역시,달성군,대구광역시_달성군,120,1
2811000000,인천광역시,중구,인천광역시_중구,84,0
2814000000,인천광역시,동구,인천광역시_동구,30,1
2817700000,인천광역시,미추홀구,인천광역시_미추홀구,98,3
2818500000,인천광역시,연수구,인천광역시_연수구,135,2
2820000000,인천광역시,남동구,인천광역시_남동구,154,0
2823700000,인천광역시,부평구,인천광역시_부평구,164,1
2824500000,인천광역시,계양구,인천광역시_계양구,106,2
2826000000,인천광역시,서구,인천광역시_서구,183,0
2871000000,인천광역시,강화군,인천광역시_강화군,76,2
2872000000,인천광역시,옹진군,인천광역시_옹진군,44,0
2911000000,광주광역시,동구,광주광역시_동구,44,3
2914000000,광주광역시,서구,광주광역시_서구,106,0
2915500000,광주광역시,남구,광주광역시_남구,112,4
2917000000,광주광역시,북구,광주광역시_북구,189,7
2920000000,광주광역시,광산구,광주광역시_광산구,176,4
3011000000,대전광역시,동구,대전광역시_동구,88,5
3014000000,대전광역시,중구,대전광역시_중구,110,1
3017000000,대전광역시,서구,대전광역시_서구,173,5
3020000000,대전광역시,유성구,대전광역시_유성구,156,5
3023000000,대전광역시,대덕구,대전광역시_대덕구,76,2
3111000000,울산광역시,중구,울산광역시_중구,82,1
3114000000,울산광역시,남구,울산광역시_남구,124,1
3117000000,울산광역시,동구,울산광역시_동구,68,1
3120000000,울산광역시,북구,울산광역시_북구,96,0
3171000000,울산광역시,울주군,울산광역시_울주군,117,2
3611000000,세종특별자치시,세종특별자치시,세종특별자치시_세종특별자치시,198,4
4111000000,경기도,수원시,경기도_수원시,400,5
4113000000,경기도,성남시,경기도_성남시,310,5
4115000000,경기도,의정부시,경기도_의정부시,138,3
4117000000,경기도,안양시,경기도_안양시,172,5
4119000000,경기도,부천시,경기도_부천시,249,4
4121000000,경기도,광명시,경기도_광명시,94,0
4122000000,경기도,평택시,경기도_평택시,222,3
4125000000,경기도,동두천시,경기도_동두천시,46,1
4127000000,경기도,안산시,경기도_안산시,218,4
4128000000,경기도,고양시,경기도_고양시,338,2
4129000000,경기도,과천시,경기도_과천시,20,0
4131000000,경기도,구리시,경기도_구리시,62,0
4136000000,경기도,남양주시,경기도_남양주시,251,1
4137000000,경기도,오산시,경기도_오산시,84,2
4139000000,경기도,시흥시,경기도_시흥시,178,2
4141000000,경기도,군포시,경기도_군포시,94,1
4143000000,경기도,의왕시,경기도_의왕시,52,1
4145000000,경기도,하남시,경기도_하남시,94,0
4146000000,경기도,용인시,경기도_용인시,374,7
4148000000,경기도,파주시,경기도_파주시,209,1
4150000000,경기도,이천시,경기도_이천시,116,2
4155000000,경기도,안성시,경기도_안성시,114,5
4157000000,경기도,김포시,경기도_김포시,169,2
4159000000,경기도,화성시,경기도_화성시,353,6
4161000000,경기도,광주시,경기도_광주시,100,3
4163000000,경기도,양주시,경기도_양주시,110,3
4165000000,경기도,포천시,경기도_포천시,102,2
4167000000,경기도,여주시,경기도_여주시,96,1
4180000000,경기도,연천군,경기도_연천군,42,0
4182000000,경기도,가평군,경기도_가평군,54,0
4183000000,경기도,양평군,경기도_양평군,86,1
4211000000,강원도,춘천시,강원도_춘천시,153,6
4213000000,강원도,원주시,강원도_원주시,180,6
4215000000,강원도,강릉시,강원도_강릉시,122,5
4217000000,강원도,동해시,강원도_동해시,54,0
4219000000,강원도,태백시,강원도_태백시,46,1
4221000000,강원도,속초시,강원도_속초시,38,1
4223000000,강원도,삼척시,강원도_삼척시,82,1
4272000000,강원도,홍천군,강원도_홍천군,89,0
4273000000,강원도,횡성군,강원도_횡성군,68,2
4275000000,강원도,영월군,강원도_영월군,62,1
4276000000,강원도,평창군,강원도_평창군,62,0
4277000000,강원도,정선군,강원도_정선군,70,0
4278000000,강원도,철원군,강원도_철원군,52,0
4279000000,강원도,화천군,강원도_화천군,44,0
4280000000,강원도,양구군,강원도_양구군,38,0
4281000000,강원도,인제군,강원도_인제군,54,0
4282000000,강원도,고성군,강원도_고성군,46,1
4283000000,강원도,양양군,강원도_양양군,42,0
4311000000,충청북도,청주시,충청북도_청주시,364,9
4313000000,충청북도,충주시,충청북도_충주시,133,2
4315000000,충청북도,제천시,충청북도_제천시,86,3
4372000000,충청북도,보은군,충청북도_보은군,48,0
4373000000,충청북도,옥천군,충청북도_옥천군,44,1
4374000000,충청북도,영동군,충청북도_영동군,52,1
4374500000,충청북도,증평군,충청북도_증평군,20,0
4375000000,충청북도,진천군,충청북도_진천군,54,0
4376000000,충청북도,괴산군,충청북도_괴산군,47,1
4377000000,충청북도,음성군,충청북도_음성군,70,2
4380000000,충청북도,단양군,충청북도_단양군,40,0
4413000000,충청남도,천안시,충청남도_천안시,262,9
4415000000,충청남도,공주시,충청남도_공주시,104,2
4418000000,충청남도,보령시,충청남도_보령시,100,1
4420000000,충청남도,아산시,충청남도_아산시,152,4
4421000000,충청남도,서산시,충청남도_서산시,110,1
4423000000,충청남도,논산시,충청남도_논산시,118,3
4425000000,충청남도,계룡시,충청남도_계룡시,20,0
4427000000,충청남도,당진시,충청남도_당진시,108,1
4471000000,충청남도,금산군,충청남도_금산군,58,1
4476000000,충청남도,부여군,충청남도_부여군,80,1
4477000000,충청남도,서천군,충청남도_서천군,68,0
4479000000,충청남도,청양군,충청남도_청양군,38,1
4480000000,충청남도,홍성군,충청남도_홍성군,80,3
4481000000,충청남도,예산군,충청남도_예산군,84,0
4482500000,충청남도,태안군,충청남도_태안군,69,0
4511000000,전라북도,전주시,전라북도_전주시,291,7
4513000000,전라북도,군산시,전라북도_군산시,175,4
4514000000,전라북도,익산시,전라북도_익산시,208,4
4518000000,전라북도,정읍시,전라북도_정읍시,132,1
4519000000,전라북도,남원시,전라북도_남원시,100,0
4521000000,전라북도,김제시,전라북도_김제시,120,1
4571000000,전라북도,완주군,전라북도_완주군,103,3
4572000000,전라북도,진안군,전라북도_진안군,56,0
4573000000,전라북도,무주군,전라북도_무주군,42,0
4574000000,전라북도,장수군,전라북도_장수군,44,0
4575000000,전라북도,임실군,전라북도_임실군,54,1
