웰플러스주택,,,
단지명,시도명,시군구명,세대수
서울중계3,서울특별시,노원구,130
서울중계9,서울특별시,노원구,60
인천삼산,인천광역시,부평구,208
대전중촌2,대전광역시,중구,112
분당목련1(웰플러스주택),경기도,성남시,90
분당한솔7,경기도,성남시,248
청주산남2-1,충청북도,청주시,130
익산부송1,전라북도,익산시,112
경주용강1,경상북도,경주시,232
